번호,링크,날짜,앵글,참가자(선택),제목,주제(선택),등록자(선택)
1,https://www.youtube.com/watch?v=GQRSTX1zSuw,2026-04-13,,,260413 코오롱스포렉스 저녁반 (한정훈사범님 최혜선사범님 김민채 이수연 박수빈),,
2,https://www.youtube.com/watch?v=smh_SadxLW0,2026-04-13,,,260403 코오롱스포렉스 저녁반,,
3,https://www.youtube.com/watch?v=B6OD50pvnTA,2026-04-13,,,260401 코오롱스포렉스 저녁반,,
4,https://www.youtube.com/watch?v=TdEUG9NYTOo,2026-04-13,,,260330 코오롱스포렉스 저녁반,,
5,https://www.youtube.com/watch?v=qFsbefV4Cvk,2026-03-28,,,260328 코오롱스포렉스 저녁반,,
6,https://www.youtube.com/watch?v=QNO6kElMjg4,2026-03-25,,,260325 코오롱스포렉스 저녁반,,
7,https://www.youtube.com/watch?v=9Y3wDSNcLF0,2026-03-23,,,260323 코오롱스포렉스 저녁반,,
8,https://www.youtube.com/watch?v=cmk8x9dRuxQ,2026-03-20,,,260320 코오롱스포렉스 저녁반,,
9,https://www.youtube.com/watch?v=xxGgRfybqgE,2026-03-18,,,260318 코오롱스포렉스 저녁반,,
10,https://www.youtube.com/watch?v=yzrXgtAXYJA,2026-03-17,,,260316 코오롱스포렉스 저녁반,,
11,https://www.youtube.com/watch?v=y7Ngff_QZhU,2026-03-14,,,260309 코오롱스포렉스 저녁반,,
12,https://www.youtube.com/watch?v=kWqEVghD_C8,2026-03-14,,,260313 코오롱스포렉스 저녁반,,
13,https://www.youtube.com/watch?v=2vFMv_3aKRs,2026-03-14,,,260314 이검회 운동,,
14,https://www.youtube.com/watch?v=AVZh1wu3RXE,2026-03-07,,,20260307 코오롱스포렉스 저녁반,,
15,https://www.youtube.com/watch?v=J7iN8YOVAT0,2026-02-27,,,20260227 코오롱스포렉스 저녁반,,
16,https://www.youtube.com/watch?v=-GN0jTJrnas,2026-02-23,,,20260224 코오롱스포렉스 저녁반,,
17,https://www.youtube.com/watch?v=WD8bDR4vfnA,2026-02-20,,,20260220 코오롱스포렉스 저녁반,,
18,https://www.youtube.com/watch?v=RAe9WL6R9Ms,2026-02-13,,,20260213 코오롱스포렉스 저녁반,,
19,https://www.youtube.com/watch?v=TZ2YwaXOzkI,2026-02-10,,,20260209 코오롱스포렉스 저녁반 기본/기술연습,,
20,https://www.youtube.com/watch?v=jRXd1bHcVXE,2026-02-10,,,20260209 코오롱스포렉스 저녁반 대련,,
21,https://www.youtube.com/watch?v=jOHjKcrizqA,2026-02-10,,,20260207 대선기대회 여자부,,
22,https://www.youtube.com/watch?v=En1h2gKvuEA,2026-02-07,,,260207 대선기검도대회 여자일반부 3회전 이화검우회 vs 후검도관,,
23,https://www.youtube.com/watch?v=qiATfzizcTY,2026-02-07,,,260207 대선기검도대회 여자일반부 2회전 이화검우회 vs 고덕검도관,,
24,https://www.youtube.com/watch?v=DlNLr4Jo-Ew,2026-02-07,,,260207 대선기검도대회 여자일반부 1회전 일산검도교실B vs 이화검우회,,
25,https://www.youtube.com/watch?v=cYL-2SqThQs,2026-02-06,,,20260206 코오롱스포렉스 저녁반,,
26,https://www.youtube.com/watch?v=6DxgxuwMqSg,2026-02-04,,,20260204 코오롱스포렉스 저녁반 (이종원선생님 한진식사범님 한정훈사범님 최혜선사범님 안주희사범님 선영 해민 연주 수빈),,
27,https://www.youtube.com/watch?v=QbgbGNvRjMk,2026-02-02,,,20260202 코오롱스포렉스 저녁반 (한진식사범님 한정훈사범님 최혜선선배님 수연 수빈 도연 선영),,
28,https://www.youtube.com/watch?v=Svergmx_TsE,2026-02-01,,,Melbourne Uni Training 231107,,
29,https://www.youtube.com/watch?v=bJdSj92HfG0,2026-02-01,,,Working at Radhey Chai Bar,,
30,https://www.youtube.com/watch?v=if4CVquwyNw,2026-02-01,,,Working at Radhey Chai Bar 4,,
31,https://www.youtube.com/watch?v=VBENxBLgPEc,2026-02-01,,,2025 서울컵 여자부 12,,
32,https://www.youtube.com/watch?v=TMHqtQ8v77M,2026-02-01,,,2025 추계 서울시 대학연맹전 결승전 이소윤 공서영,,
33,https://www.youtube.com/watch?v=UTKD3-GkAA4,2026-02-01,,,2025 서울컵 여자부 11,,
34,https://www.youtube.com/watch?v=kKEzjK8XAWw,2026-01-31,,,Working at Radhey Chai Bar 4,,
35,https://www.youtube.com/watch?v=wIpMyLBg624,2026-01-31,,,Working at Radhey Chai Bar 3,,
36,https://www.youtube.com/watch?v=xYJd95IxB-Q,2026-01-31,,,Working at Radhey Chai bar,,
37,https://www.youtube.com/watch?v=l3XNqoAVgWI,2026-01-31,,,2025 서울컵 여자부 10,,
38,https://www.youtube.com/watch?v=ipt0XKFDkfU,2026-01-31,,,2025 서울컵 여자부 9,,
39,https://www.youtube.com/watch?v=BIbas8fXQu4,2026-01-31,,,2025 서울컵 여자부 8,,
40,https://www.youtube.com/watch?v=iaTv4k3un4Q,2026-01-31,,,2025 서울컵 여자부 7,,
